loss,rmse,val_loss,val_rmse,lr
0.045354168862104416,0.21296507120132446,0.004363276995718479,0.06605511158704758,9.999999747378752e-06
0.003896172856912017,0.06241932883858681,0.003566519822925329,0.05972035229206085,1.8000000636675395e-05
0.0033109402284026146,0.057540830224752426,0.002871632343158126,0.05358761176466942,2.5999999706982635e-05
0.0030298454221338034,0.055044032633304596,0.0028992777224630117,0.053844936192035675,3.400000059627928e-05
0.0028421045280992985,0.05331142619252205,0.0026665355544537306,0.05163850262761116,4.199999966658652e-05
0.002697443123906851,0.051936931908130646,0.002664143219590187,0.05161534249782562,4.999999873689376e-05
0.002362373983487487,0.048604268580675125,0.0024113738909363747,0.049105748534202576,4.199999966658652e-05
0.0021568655502051115,0.04644206166267395,0.001982351765036583,0.04452362284064293,3.559999822755344e-05
0.002008213195949793,0.04481309652328491,0.0018610600382089615,0.04314000532031059,3.0479999622912146e-05
0.0019000159809365869,0.04358919709920883,0.0017933117924258113,0.0423474982380867,2.6383999284007587e-05
0.0018087899079546332,0.042529892176389694,0.001757575897499919,0.04192343354225159,2.3107200831873342e-05
0.001733585144393146,0.04163634404540062,0.0017054216004908085,0.041296761482954025,2.0485760614974424e-05
0.0016682399436831474,0.040844082832336426,0.001631300081498921,0.04038935899734497,1.8388607713859528e-05
0.0016032495768740773,0.040040597319602966,0.0015485332114621997,0.03935139626264572,1.6710886484361254e-05
0.001549133681692183,0.039359044283628464,0.0015198891051113605,0.03898574784398079,1.5368708773166873e-05
0.0014944656286388636,0.03865833207964897,0.0014701131731271744,0.03834206238389015,1.429496751370607e-05
0.0014471154427155852,0.03804095461964607,0.0014313311548903584,0.03783293440937996,1.3435973414743785e-05
0.0014003008836880326,0.037420593202114105,0.0013459830079227686,0.036687642335891724,1.27487792269676e-05
0.001360431662760675,0.03688402473926544,0.0013516541803255677,0.03676484525203705,1.219902333104983e-05
0.0013213459169492126,0.0363503098487854,0.0013035283191129565,0.03610440716147423,1.1759218978113495e-05
0.0012899711728096008,0.03591618314385414,0.0012558787129819393,0.035438377410173416,1.1407374586269725e-05
0.0012598870089277625,0.03549489378929138,0.0012636402389034629,0.03554771468043327,1.112589961849153e-05
0.001231985748745501,0.035099636763334274,0.0012165573425590992,0.03487918898463249,1.0900719644268975e-05
0.0012057411950081587,0.03472378849983215,0.0011718523455783725,0.03423232585191727,1.072057602868881e-05
0.0011844245018437505,0.03441549092531204,0.0011551441857591271,0.03398740664124489,1.057646113622468e-05
0.0011606181506067514,0.03406786173582077,0.001146649825386703,0.03386221453547478,1.0461169040354434e-05
0.0011428045108914375,0.03380538895726204,0.0011294702999293804,0.03360758721828461,1.0368934454163536e-05
0.0011242844630032778,0.033530350774526596,0.0011221980676054955,0.033499229699373245,1.02951480585034e-05
0.0011065159924328327,0.033264338970184326,0.0011135070817545056,0.033369261771440506,1.023611821437953e-05
0.001091462792828679,0.03303731605410576,0.0010795827256515622,0.032857004553079605,1.0188894520979375e-05
0.001074206200428307,0.032775115221738815,0.0010583791881799698,0.03253274783492088,1.015111593005713e-05
0.0010628075106069446,0.032600730657577515,0.0010444705840200186,0.032318275421857834,1.0120892511622515e-05
0.0010510842548683286,0.032420411705970764,0.0010287510231137276,0.03207414969801903,1.0096714504470583e-05
0.0010360556188970804,0.032187819480895996,0.001018655369989574,0.03191637620329857,1.0077371371153276e-05
0.0010250258492305875,0.03201601281762123,0.0010196735383942723,0.031932320445775986,1.0061897228297312e-05
0.0010119595099240541,0.03181131184101105,0.0009904095204547048,0.03147077187895775,1.0049517186416779e-05
0.0010024351067841053,0.0316612534224987,0.0009965277276933193,0.031567834317684174,1.0039613698609173e-05
0.0009920921875163913,0.03149747848510742,0.0009796794038265944,0.031299833208322525,1.003169109026203e-05
0.0009802504209801555,0.031308941543102264,0.0009759912500157952,0.031240860000252724,1.0025352821685374e-05
0.0009709637961350381,0.031160278245806694,0.0009732465841807425,0.031196895986795425,1.002028238872299e-05
0.000963434053119272,0.031039230525493622,0.000956638075876981,0.030929576605558395,1.0016226042353082e-05
0.0009534612181596458,0.030878158286213875,0.0009450681391172111,0.030741944909095764,1.0012980965257157e-05
0.0009431326179765165,0.03071047179400921,0.0009473444661125541,0.030778950080275536,1.0010384357883595e-05
0.0009366265148855746,0.030604343861341476,0.0009343849960714579,0.030567716807127,1.0008307981479447e-05
0.0009277706849388778,0.030459333211183548,0.0009289850131608546,0.030479252338409424,1.0006646334659308e-05
0.0009196923929266632,0.03032645583152771,0.0009282449027523398,0.030467120930552483,1.0005316653405316e-05
0.0009136443841271102,0.030226539820432663,0.0009131071274168789,0.030217664316296577,1.0004253454098944e-05
0.0009058148134499788,0.0300967488437891,0.0009004564490169287,0.030007610097527504,1.0003403076552786e-05
0.0008972164359875023,0.029953572899103165,0.000888604496140033,0.02980947308242321,1.0002721865021158e-05
0.0008913857163861394,0.029856078326702118,0.0008941702544689178,0.029902679845690727,1.0002177987189498e-05
