loss,accuracy,crossentropy,area_under_roc,precision,recall,true_pos,true_neg,false_pos,false_neg,val_loss,val_accuracy,val_crossentropy,val_area_under_roc,val_precision,val_recall,val_true_pos,val_true_neg,val_false_pos,val_false_neg,lr
0.6197500228881836,0.6571117639541626,0.6197500228881836,0.7160916924476624,0.6480088829994202,0.6878628730773926,7583.0,6905.0,4119.0,3441.0,0.5738158822059631,0.7118459343910217,0.5738158822059631,0.8168860673904419,0.8366050720214844,0.526526153087616,1449.0,2469.0,283.0,1303.0,9.999999747378752e-06
0.5484626889228821,0.7231494784355164,0.5484626889228821,0.7989915609359741,0.7180464267730713,0.7348512411117554,8101.0,7843.0,3181.0,2923.0,0.43698635697364807,0.8177688717842102,0.43698635697364807,0.8982252478599548,0.8270310759544373,0.8032727241516113,2209.0,2292.0,462.0,541.0,1.8000000636675395e-05
0.3437674045562744,0.8560867309570312,0.3437674045562744,0.9339502453804016,0.8500223159790039,0.8647496104240417,9533.0,9342.0,1682.0,1491.0,0.21827180683612823,0.9180595874786377,0.21827180683612823,0.974789023399353,0.9139358997344971,0.9229090809822083,2538.0,2515.0,239.0,212.0,2.5999999706982635e-05
0.20795701444149017,0.9247550964355469,0.20795701444149017,0.9715855717658997,0.9150784611701965,0.936411440372467,10323.0,10066.0,958.0,701.0,0.20291972160339355,0.9222383499145508,0.20291972160339355,0.9758713841438293,0.9085794687271118,0.9389534592628479,2584.0,2492.0,260.0,168.0,3.400000059627928e-05
0.1851087212562561,0.9353682994842529,0.1851087212562561,0.9754835963249207,0.9226027727127075,0.9504716992378235,10478.0,10145.0,879.0,546.0,0.18469904363155365,0.9335029125213623,0.18469904363155365,0.9806869029998779,0.9645914435386658,0.9001452326774597,2479.0,2659.0,91.0,275.0,4.199999966658652e-05
0.17172196507453918,0.9430787563323975,0.17172196507453918,0.9778648614883423,0.9298600554466248,0.9584543108940125,10566.0,10227.0,797.0,458.0,0.18595512211322784,0.9247819781303406,0.18595512211322784,0.9815526008605957,0.8880398869514465,0.972000002861023,2673.0,2417.0,337.0,77.0,4.999999873689376e-05
0.15879547595977783,0.9487935304641724,0.15879547595977783,0.9811058044433594,0.934715747833252,0.9649854898452759,10638.0,10281.0,743.0,386.0,0.17261295020580292,0.9389534592628479,0.17261295020580292,0.9828880429267883,0.9507278800010681,0.9258451461791992,2547.0,2621.0,132.0,204.0,4.199999966658652e-05
0.14781007170677185,0.951786994934082,0.14781007170677185,0.983504593372345,0.9394688010215759,0.9658018946647644,10647.0,10338.0,686.0,377.0,0.16667626798152924,0.9375,0.16667626798152924,0.9834543466567993,0.940358579158783,0.9342057704925537,2570.0,2590.0,163.0,181.0,3.559999822755344e-05
0.13983148336410522,0.9540094137191772,0.13983148336410522,0.9853067398071289,0.9415916800498962,0.9680696725845337,10672.0,10362.0,662.0,352.0,0.16041778028011322,0.9402253031730652,0.16041778028011322,0.986162006855011,0.919611930847168,0.9647400975227356,2654.0,2521.0,232.0,97.0,3.0479999622912146e-05
0.133689746260643,0.9572750329971313,0.133689746260643,0.986346960067749,0.9452393651008606,0.9707909822463989,10702.0,10404.0,620.0,322.0,0.15911103785037994,0.9414970874786377,0.15911103785037994,0.9853585958480835,0.9311812520027161,0.953505277633667,2625.0,2557.0,194.0,128.0,2.6383999284007587e-05
0.12904898822307587,0.958182156085968,0.12904898822307587,0.9876490831375122,0.947070300579071,0.9706096053123474,10700.0,10426.0,598.0,324.0,0.15871158242225647,0.9411337375640869,0.15871158242225647,0.9860302805900574,0.9188255667686462,0.9676246047019958,2660.0,2520.0,235.0,89.0,2.3107200831873342e-05
0.12669284641742706,0.9590439200401306,0.12669284641742706,0.9880208373069763,0.9481094479560852,0.9712445735931396,10707.0,10438.0,586.0,317.0,0.14907357096672058,0.9416787624359131,0.14907357096672058,0.9863772988319397,0.9308510422706604,0.9541984796524048,2625.0,2558.0,195.0,126.0,2.0485760614974424e-05
0.1240818127989769,0.9592252969741821,0.1240818127989769,0.9885110259056091,0.9487634301185608,0.9708817005157471,10703.0,10446.0,578.0,321.0,0.14506487548351288,0.942223846912384,0.14506487548351288,0.9873256683349609,0.9355992674827576,0.9498728513717651,2615.0,2571.0,180.0,138.0,1.8388607713859528e-05
0.12090688198804855,0.9597242474555969,0.12090688198804855,0.9889523386955261,0.9492907524108887,0.9713352918624878,10708.0,10452.0,572.0,316.0,0.16672898828983307,0.9396802186965942,0.16672898828983307,0.9862238168716431,0.912155270576477,0.9731202125549316,2679.0,2493.0,258.0,74.0,1.6710886484361254e-05
0.11919733881950378,0.9605406522750854,0.11919733881950378,0.9893400073051453,0.9496103525161743,0.9726959466934204,10723.0,10455.0,569.0,301.0,0.1442624181509018,0.9436773061752319,0.1442624181509018,0.9874894618988037,0.9263782501220703,0.9640522599220276,2655.0,2539.0,211.0,99.0,1.5368708773166873e-05
